Номер,Дата,Висота 1,Висота 2,Висота 3,Ширина 1 ,Ширина 2,Ширина 3,Температура,Температура столу,Вологість,Кількість шарів,Слайсер: висота шару,Слайсер: ширина шару,Слайсер: швидкість головки,Слайсер: коефіцієнт екструзії
number,date,height_1,height_2,height_3,width_1,width_2,width_3,temp,bed_temp,humidity,layer_count,slicer_layer_height,slicer_layer_width,slicer_nozzle_speed,slicer_extrusion_multiplier
1,31.10.2024,,,,,,,"18,5",,41%,1,,,,
2,31.10.2024,"0,76","0,77","0,69","1,42","1,35","1,55","18,5",,41%,1,0.8,1.5,10,1
3,31.10.2024,"0,65","0,75","0,82","1,75","1,96","1,75","18,5",,41%,1,0.8,1.5,10,1
4,31.10.2024,"0,78","0,87","0,84","2,21","1,77","2,14","18,5",,41%,1,0.8,1.5,10,1
5,31.10.2024,"0,86","0,78","0,89","1,96","1,85","1,93","18,5",,41%,1,0.8,1.5,10,1
6,31.10.2024,"0,85","0,86","0,98","2,17","1,93","1,9","18,5",,41%,1,0.8,1.5,10,1
7,31.10.2024,"0,81","0,94","0,91","2,25","2,05","2,07","18,5",,41%,1,0.8,1.5,10,1
8,31.10.2024,"1,23","1,65","1,6","4,52","4,51","4,47","18,5",,41%,1,0.8,1.5,2,2.1
9,31.10.2024,"0,73","0,74","0,87","3,05","2,95","3,02","18,5",,41%,1,0.8,1.5,5,1.69
10,31.10.2024,"0,58","0,66","0,7","2,71","2,69","2,84","18,5",,41%,1,0.8,1.5,10,1.322
11,31.10.2024,"0,62","0,68","0,63","2,52","2,49","2,35","18,5",,41%,1,0.8,1.5,10,1
12,31.10.2024,"0,88","0,6","0,55","2,45","2,42","2,65","18,5",,41%,1,0.8,1.5,10,0.72
13,31.10.2024,"0,45","0,59","0,61","1,92","1,96","1,89","18,5",,41%,1,0.8,1.5,10,0.49
14,31.10.2024,"0,44","0,62","0,62","1,62","1,46","1,75","18,5",,41%,1,0.8,1.5,10,0.3
15,31.10.2024,"0,62","0,65","0,6","1,35","1,2","1,25","18,5",,41%,1,0.8,1.5,10,0.16
16,31.10.2024,"0,69","0,73","0,8","1,8","1,71","1,6",20,,41%,1,0.8,1.5,10,1
17,31.10.2024,"0,67","0,77","0,69","1,95",2,"1,75",20,,41%,1,0.8,1.5,10,1
18,31.10.2024,"0,72","0,73","0,82","2,7","2,52","2,01",20,,41%,1,0.8,1.5,10,1
19,31.10.2024,"0,76","0,69","0,79","2,3","2,15","2,18",20,,41%,1,0.8,1.5,10,1
20,31.10.2024,"0,7","0,73","0,8","2,43","2,31","2,32",20,,41%,1,0.8,1.5,10,1
21,31.10.2024,"0,65","0,8","0,82","2,42","2,35","2,42",20,,41%,1,0.8,1.5,10,1
22,31.10.2024,"0,68","0,72","0,89","2,47","2,43","2,65",20,,41%,1,0.8,1.5,10,1
23,31.10.2024,"0,6","0,69","0,67","2,85","2,64","2,87",20,,41%,1,0.8,1.5,10,1
24,31.10.2024,"1,44","2,01","1,8",5,"5,02","4,9",20,,41%,1,0.8,1.5,2,2.1
25,31.10.2024,"0,8","0,86","0,82","3,25","3,22","3,09",20,,41%,1,0.8,1.5,5,1.69
26,31.10.2024,"0,71","0,81","0,76","2,9","2,86","2,81",20,,41%,1,0.8,1.5,10,1.322
27,31.10.2024,"0,8","0,75","0,72","2,43","2,6","2,62",20,,41%,1,0.8,1.5,10,1
28,31.10.2024,"0,75","0,71","0,85","2,35","2,42","2,47",20,,41%,1,0.8,1.5,10,0.72
29,31.10.2024,"0,6","0,76","0,67","2,33","2,35","2,37",20,,41%,1,0.8,1.5,10,0.49
30,31.10.2024,"0,65","0,45","0,67","1,55","1,48","1,42",20,,41%,1,0.8,1.5,10,0.3
31,31.10.2024,"0,66","0,7","0,56","1,36","1,35","1,45",20,,41%,1,0.8,1.5,10,0.16
32,,,,,, ,,,,,1,0.8,1.5,,
33,,,,,,,,,,,1,0.8,1.5,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,